keyword,sw
lovely friendly,0.6569037656903766
favourite citytag,0.6567164179104478
high spec,0.6565656565656566
warm welcome,0.6564102564102564
definitely worth,0.6562962962962963
friendly helpful,0.65625
visit !,0.65625
offers great,0.6559139784946236
best service,0.6557377049180327
relaxed,0.6556830803406146
rubens,0.6553911205073996
always great,0.6548672566371682
along thames,0.6545454545454545
well catered,0.654320987654321
yum !,0.654320987654321
citytag skyline,0.6542372881355932
great time,0.6541916167664671
also ate,0.6541353383458647
tastefully decorated,0.6534508076358296
spotless clean,0.6531791907514449
excellent night,0.6530612244897959
extremely kind,0.6528925619834711
wonderfull,0.6526946107784432
great welcome,0.6525821596244131
feel right,0.6521739130434783
go-to hotel,0.6521739130434783
westminster station,0.6521739130434783
well thought,0.6519823788546255
westminster abbey,0.6517754868270332
blackfriars station,0.6517412935323383
fully equipped,0.6516393442622951
great surprise,0.6513761467889908
magnifying mirror,0.6511627906976745
