keyword,sentiment,sw,,,,,,,,,,
avoid like,Negetive,-0.983471074,,,,,,,,,,
avoid room,Negetive,-0.763033175,,,,,,,,,,
avoid staying,Negetive,-0.838709677,,,,,,,,,,
avoided,Negetive,-0.642192347,,,,,,,,,,
aweful,Negetive,-0.916666667,,,,,,,,,,
awesome,Positive,0.541624537,,,,,,,,,,
awesome !,Positive,0.602787456,,,,,,,,,,
awesome location,Positive,0.412698413,,,,,,,,,,
awful,Negetive,-0.866502958,,,,,,,,,,
awful !,Negetive,-0.877192982,,,,,,,,,,
awful experience,Negetive,-0.928338762,,,,,,,,,,
awful hotel,Negetive,-0.953271028,,,,,,,,,,
awful place,Negetive,-0.959731544,,,,,,,,,,
awful room,Negetive,-0.921568627,,,,,,,,,,
awful service,Negetive,-0.93877551,,,,,,,,,,
awful smell,Negetive,-0.884210526,,,,,,,,,,
awfull,Negetive,-0.820689655,,,,,,,,,,
awfully,Negetive,-0.696078431,,,,,,,,,,
awkwardly,Negetive,-0.734265734,,,,,,,,,,
back ache,Negetive,-0.777777778,,,,,,,,,,
back emojipos,Positive,0.928571429,,,,,,,,,,
back pain,Negetive,-0.688073394,,,,,,,,,,
back soon,Positive,0.931260229,,,,,,,,,,
backache,Negetive,-0.788235294,,,,,,,,,,
bad,Negetive,-0.693831995,,,,,,,,,,
bad !,Negetive,-0.693181818,,,,,,,,,,
bad attitude,Negetive,-0.906666667,,,,,,,,,,
bad breakfast,Negetive,-0.820224719,,,,,,,,,,
bad choice,Negetive,-0.93258427,,,,,,,,,,
bad condition,Negetive,-0.945454545,,,,,,,,,,
bad customer,Negetive,-0.888,,,,,,,,,,
bad enough,Negetive,-0.895238095,,,,,,,,,,
bad experience,Negetive,-0.736704446,,,,,,,,,,
bad hotel,Negetive,-0.864150943,,,,,,,,,,
bad impression,Negetive,-0.776,,,,,,,,,,
bad luck,Negetive,-0.728971963,,,,,,,,,,
bad night,Negetive,-0.828571429,,,,,,,,,,
bad nights,Negetive,-0.889570552,,,,,,,,,,
bad points,Negetive,-0.743315508,,,,,,,,,,
bad quality,Negetive,-0.838709677,,,,,,,,,,
bad review,Negetive,-0.770609319,,,,,,,,,,
bad service,Negetive,-0.876033058,,,,,,,,,,
bad shape,Negetive,-0.855421687,,,,,,,,,,
bad smell,Negetive,-0.833333333,,,,,,,,,,
bad stay,Negetive,-0.631067961,,,,,,,,,,
bad taste,Negetive,-0.841860465,,,,,,,,,,
bad things,Negetive,-0.640449438,,,,,,,,,,
bad value,Negetive,-0.899159664,,,,,,,,,,
badly,Negetive,-0.85937057,,,,,,,,,,
badly designed,Negetive,-0.873239437,,,,,,,,,,
badly stained,Negetive,-0.868613139,,,,,,,,,,
banged,Negetive,-0.781321185,,,,,,,,,,
banging,Negetive,-0.798848369,,,,,,,,,,
banging doors,Negetive,-0.710144928,,,,,,,,,,
bangs,Negetive,-0.669724771,,,,,,,,,,
bare,Negetive,-0.788586252,,,,,,,,,,
barefoot,Negetive,-0.786259542,,,,,,,,,,
barely,Negetive,-0.775365894,,,,,,,,,,
barely enough,Negetive,-0.826879271,,,,,,,,,,
barely fit,Negetive,-0.80794702,,,,,,,,,,
barely get,Negetive,-0.810344828,,,,,,,,,,
barely room,Negetive,-0.841269841,,,,,,,,,,
barely slept,Negetive,-0.954545455,,,,,,,,,,
barely spoke,Negetive,-0.921568627,,,,,,,,,,
barely warm,Negetive,-0.695652174,,,,,,,,,,
barely worked,Negetive,-0.924242424,,,,,,,,,,
barged,Negetive,-0.881188119,,,,,,,,,,
bathroom needed,Negetive,-0.701657459,,,,,,,,,,
bathroom smelt,Negetive,-0.931034483,,,,,,,,,,
bathroom spotless,Positive,0.666666667,,,,,,,,,,
bathroom tiny,Negetive,-0.724137931,,,,,,,,,,
battered,Negetive,-0.825454545,,,,,,,,,,
beautiful,Positive,0.563439498,,,,,,,,,,
beautiful !,Positive,0.671361502,,,,,,,,,,
beautiful area,Positive,0.383333333,,,,,,,,,,
beautiful bathroom,Positive,0.774834437,,,,,,,,,,
beautiful decor,Positive,0.761006289,,,,,,,,,,
beautiful garden,Positive,0.647058824,,,,,,,,,,
beautiful hotel,Positive,0.630392788,,,,,,,,,,
beautiful location,Positive,0.37007874,,,,,,,,,,
beautiful place,Positive,0.554216867,,,,,,,,,,
beautiful room,Positive,0.764485981,,,,,,,,,,
beautiful rooms,Positive,0.746478873,,,,,,,,,,
beautiful surroundings,Positive,0.615384615,,,,,,,,,,
beautiful view,Positive,0.501432665,,,,,,,,,,
beautiful views,Positive,0.566878981,,,,,,,,,,
beautifull,Positive,0.482352941176471,,,,,,,,, ,
beautifully,Positive,0.760450916,,,,,,,,,,
beautifully clean,Positive,0.753246753,,,,,,,,,,
beautifully cooked,Positive,0.789473684,,,,,,,,,,
beautifully decorated,Positive,0.79930192,,,,,,,,,,
beautifully designed,Positive,0.610859729,,,,,,,,,,
beautifully furnished,Positive,0.851239669,,,,,,,,,,
beautifully presented,Positive,0.853164557,,,,,,,,,,
bed bug,Negetive,-0.977859779,,,,,,,,,,
bed bugs,Negetive,-0.951758794,,,,,,,,,,
bed uncomfortable,Negetive,-0.93220339,,,,,,,,,,
bedbug,Negetive,-1,,,,,,,,,,
bedbugs,Negetive,-0.945054945,,,,,,,,,,
beg,Negetive,-0.727272727,,,,,,,,,,
begging,Negetive,-0.72815534,,,,,,,,,,
begrudgingly,Negetive,-0.903225806,,,,,,,,,,
bemused,Negetive,-0.638297872,,,,,,,,,,
best !,Positive,0.527559055,,,,,,,,,,
best avoided,Negetive,-0.702970297,,,,,,,,,,
best bed,Positive,0.724137931,,,,,,,,,,
best breakfast,Positive,0.792828685,,,,,,,,,,
best choice,Positive,0.283950617,,,,,,,,,,
best citytag,Positive,0.716814159,,,,,,,,,,
best customer,Positive,0.666666667,,,,,,,,,,
best ever,Positive,0.780487805,,,,,,,,,,
best experience,Positive,0.595505618,,,,,,,,,,
best food,Positive,0.723404255,,,,,,,,,,
best hotel,Positive,0.81443299,,,,,,,,,,
best hotels,Positive,0.742522757,,,,,,,,,,
best hoteltag,Positive,0.894736842,,,,,,,,,,
best location,Positive,0.549902153,,,,,,,,,,
best locations,Positive,0.415929204,,,,,,,,,,
best night,Positive,0.583815029,,,,,,,,,,
best nights,Positive,0.708955224,,,,,,,,,,
best one,Positive,0.54973822,,,,,,,,,,
best place,Positive,0.618320611,,,,,,,,,,
best places,Positive,0.73480663,,,,,,,,,,
best possible,Positive,0.552,,,,,,,,,,
best quality,Positive,0.272727273,,,,,,,,,,
best service,Positive,0.655737705,,,,,,,,,,
